"election_year","state","type","party","value","party_short","candidate","candidate_state","vp","vp_state","candidate_state_abb","vp_state_abb"
2000,"KY","popvoteperc","democrat",0.413743931272573,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"KY","popvoteperc","republican",0.565017060757538,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"KY","popvoteperc","diff",-0.151273129484965,NA,NA,NA,NA,NA,NA,NA
2000,"LA","evote","republican",9,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"LA","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"LA","popvote","republican",927871,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"LA","popvote","democrat",792344,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"LA","popvote","others",45441,NA,NA,NA,NA,NA,NA,NA
2000,"LA","evote","diff",-9,NA,NA,NA,NA,NA,NA,NA
2000,"LA","popvote","diff",-135527,NA,NA,NA,NA,NA,NA,NA
2000,"LA","popvoteperc","democrat",0.448753324543399,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"LA","popvoteperc","republican",0.525510631742537,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"LA","popvoteperc","diff",-0.0767573071991374,NA,NA,NA,NA,NA,NA,NA
2000,"ME","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"ME","evote","democrat",4,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"ME","popvote","republican",286616,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"ME","popvote","democrat",319951,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"ME","popvote","others",45250,NA,NA,NA,NA,NA,NA,NA
2000,"ME","evote","diff",4,NA,NA,NA,NA,NA,NA,NA
2000,"ME","popvote","diff",33335,NA,NA,NA,NA,NA,NA,NA
2000,"ME","popvoteperc","democrat",0.49086016473949,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"ME","popvoteperc","republican",0.439718509949879,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"ME","popvoteperc","diff",0.0511416547896112,NA,NA,NA,NA,NA,NA,NA
2000,"MD","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MD","evote","democrat",10,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
